               sumitomo  bank  aim  quick  recoveri  merger  ltd  sumi.t  \
test/14843            1     1    1      1         1       1    1       1   
test/14852            0     1    0      0         0       0    1       0   
test/14865            0     0    0      0         0       0    1       0   
test/14888            0     1    0      0         0       0    1       0   
test/14900            0     0    0      0         0       0    1       0   
test/14907            0     0    0      0         0       0    1       0   
test/14909            0     0    1      0         0       0    0       0   
test/14921            0     1    0      0         0       0    0       0   
test/14932            0     0    0      0         0       1    0       0   
test/14941            0     0    0      0         0       0    0       0   
test/14943            0     0    0      0         0       0    0       0   
test/14949            0     0    0      0         0       1    0       0   
test/14978            0     0    0      0         0       0    0       0   
test/14982            0     1    1      0         0       0    0       0   
test/15001            0     0    0      0         0       0    0       0   
test/15004            0     0    0      0         0       0    1       0   
test/15024            0     0    0      0         0       0    0       0   
test/15031            0     0    0      0         0       0    0       0   
test/15037            0     0    0      0         0       0    0       0   
test/15052            0     0    0      0         0       0    0       0   
test/15060            0     0    0      0         0       1    0       0   
test/15061            0     0    0      0         0       0    0       0   
test/15063            0     1    0      0         0       0    0       0   
test/15069            0     0    0      0         0       0    0       0   
test/15091            0     0    0      0         0       0    0       0   
test/15111            0     0    0      0         0       0    0       0   
test/15119            0     0    0      0         0       0    0       0   
test/15122            0     0    0      0         0       1    0       0   
test/15124            0     0    0      0         0       0    0       0   
test/15128            0     0    0      0         0       0    0       0   
...                 ...   ...  ...    ...       ...     ...  ...     ...   
training/9779         0     0    0      0         0       1    1       0   
training/978          0     0    0      0         0       0    1       0   
training/9809         0     0    0      0         0       0    0       0   
training/9814         0     1    0      0         0       0    1       0   
training/982          0     1    0      0         0       0    0       0   
training/9823         0     0    0      0         0       0    0       0   
training/9833         0     0    0      0         0       1    0       0   
training/9844         0     0    0      0         0       1    0       0   
training/985          0     0    0      0         0       0    0       0   
training/9850         0     0    0      0         0       0    0       0   
training/9858         0     0    0      0         0       1    0       0   
training/9867         0     0    0      0         0       0    0       0   
training/9872         0     0    0      0         0       0    0       0   
training/9891         0     0    0      0         0       1    0       0   
training/9893         0     0    0      0         0       0    0       0   
training/9913         0     0    0      0         0       0    0       0   
training/9918         0     0    0      0         0       0    0       0   
training/9920         0     0    0      0         0       0    0       0   
training/9925         0     0    0      0         0       0    0       0   
training/9926         0     0    0      0         0       0    0       0   
training/9928         0     0    0      0         0       0    0       0   
training/9929         0     0    0      0         0       1    0       0   
training/9942         0     0    0      0         0       0    0       0   
training/9947         0     0    0      0         0       1    0       0   
training/9954         0     0    1      0         0       0    0       0   
training/9971         0     0    0      0         0       0    0       0   
training/9976         0     0    0      0         0       0    1       0   
training/9977         0     0    0      0         0       0    0       0   
training/9978         0     1    0      0         0       0    0       0   
training/9984         0     0    0      0         0       0    0       0   

               certain  lose    ...     rocki  estate-rel  interstate'  \
test/14843           1     1    ...         0           0            0   
test/14852           0     0    ...         0           0            0   
test/14865           0     0    ...         0           0            0   
test/14888           0     0    ...         0           0            0   
test/14900           0     0    ...         0           0            0   
test/14907           0     0    ...         0           0            0   
test/14909           0     0    ...         0           0            0   
test/14921           1     0    ...         0           0            0   
test/14932           0     0    ...         0           0            0   
test/14941           0     0    ...         0           0            0   
test/14943           0     0    ...         0           0            0   
test/14949           0     0    ...         0           0            0   
test/14978           1     0    ...         0           0            0   
test/14982           0     0    ...         0           0            0   
test/15001           0     0    ...         0           0            0   
test/15004           0     0    ...         0           0            0   
test/15024           0     0    ...         0           0            0   
test/15031           0     0    ...         0           0            0   
test/15037           0     0    ...         0           0            0   
test/15052           0     0    ...         0           0            0   
test/15060           1     0    ...         0           0            0   
test/15061           0     0    ...         0           0            0   
test/15063           0     0    ...         0           0            0   
test/15069           0     0    ...         0           0            0   
test/15091           0     0    ...         0           0            0   
test/15111           0     0    ...         0           0            0   
test/15119           0     0    ...         0           0            0   
test/15122           0     0    ...         0           0            0   
test/15124           0     0    ...         0           0            0   
test/15128           0     0    ...         0           0            0   
...                ...   ...    ...       ...         ...          ...   
training/9779        0     0    ...         0           0            0   
training/978         0     0    ...         0           0            0   
training/9809        0     0    ...         0           0            0   
training/9814        0     0    ...         0           0            0   
training/982         0     0    ...         0           0            0   
training/9823        0     0    ...         0           0            0   
training/9833        0     0    ...         0           0            0   
training/9844        0     0    ...         0           0            0   
training/985         0     0    ...         0           0            0   
training/9850        0     0    ...         0           0            0   
training/9858        0     0    ...         0           0            0   
training/9867        0     0    ...         0           0            0   
training/9872        0     0    ...         0           0            0   
training/9891        0     0    ...         0           0            0   
training/9893        0     0    ...         0           0            0   
training/9913        0     0    ...         0           0            0   
training/9918        0     0    ...         0           0            0   
training/9920        0     0    ...         0           0            0   
training/9925        0     0    ...         0           0            0   
training/9926        0     0    ...         0           0            0   
training/9928        1     0    ...         0           0            0   
training/9929        0     0    ...         0           0            0   
training/9942        0     0    ...         0           0            0   
training/9947        0     0    ...         0           0            0   
training/9954        0     0    ...         0           0            0   
training/9971        0     0    ...         0           0            0   
training/9976        0     0    ...         0           0            0   
training/9977        0     0    ...         0           0            0   
training/9978        0     0    ...         1           1            1   
training/9984        0     0    ...         0           0            0   

               mississippi  rejuven  genencor  genentech  multiyear  genecor  \
test/14843               0        0         0          0          0        0   
test/14852               0        0         0          0          0        0   
test/14865               0        0         0          0          0        0   
test/14888               0        0         0          0          0        0   
test/14900               0        0         0          0          0        0   
test/14907               0        0         0          0          0        0   
test/14909               0        0         0          0          0        0   
test/14921               0        0         0          0          0        0   
test/14932               0        0         0          0          0        0   
test/14941               0        0         0          0          0        0   
test/14943               0        0         0          0          0        0   
test/14949               0        0         0          0          0        0   
test/14978               0        0         0          0          0        0   
test/14982               0        0         0          0          0        0   
test/15001               0        0         0          0          0        0   
test/15004               0        0         0          0          0        0   
test/15024               0        0         0          0          0        0   
test/15031               0        0         0          0          0        0   
test/15037               0        0         0          0          0        0   
test/15052               0        0         0          0          0        0   
test/15060               0        0         0          0          0        0   
test/15061               0        0         0          0          0        0   
test/15063               0        0         0          0          0        0   
test/15069               0        0         0          0          0        0   
test/15091               0        0         0          0          0        0   
test/15111               0        0         0          0          0        0   
test/15119               0        0         0          0          0        0   
test/15122               0        0         0          0          0        0   
test/15124               0        0         0          0          0        0   
test/15128               0        0         0          0          0        0   
...                    ...      ...       ...        ...        ...      ...   
training/9779            0        0         0          0          0        0   
training/978             0        0         0          0          0        0   
training/9809            0        0         0          0          0        0   
training/9814            0        0         0          0          0        0   
training/982             0        0         0          0          0        0   
training/9823            0        0         0          0          0        0   
training/9833            0        0         0          0          0        0   
training/9844            0        0         0          0          0        0   
training/985             0        0         0          0          0        0   
training/9850            0        0         0          0          0        0   
training/9858            0        0         0          0          0        0   
training/9867            0        0         0          0          0        0   
training/9872            0        0         0          0          0        0   
training/9891            0        0         0          0          0        0   
training/9893            0        0         0          0          0        0   
training/9913            0        0         0          0          0        0   
training/9918            0        0         0          0          0        0   
training/9920            0        0         0          0          0        0   
training/9925            0        0         0          0          0        0   
training/9926            0        0         0          0          0        0   
training/9928            0        0         0          0          0        0   
training/9929            0        0         0          0          0        0   
training/9942            0        0         0          0          0        0   
training/9947            0        0         0          0          0        0   
training/9954            0        0         0          0          0        0   
training/9971            0        0         0          0          0        0   
training/9976            0        0         0          0          0        0   
training/9977            0        0         0          0          0        0   
training/9978            1        1         0          0          0        0   
training/9984            0        0         1          1          1        1   

               additivi  
test/14843            0  
test/14852            0  
test/14865            0  
test/14888            0  
test/14900            0  
test/14907            0  
test/14909            0  
test/14921            0  
test/14932            0  
test/14941            0  
test/14943            0  
test/14949            0  
test/14978            0  
test/14982            0  
test/15001            0  
test/15004            0  
test/15024            0  
test/15031            0  
test/15037            0  
test/15052            0  
test/15060            0  
test/15061            0  
test/15063            0  
test/15069            0  
test/15091            0  
test/15111            0  
test/15119            0  
test/15122            0  
test/15124            0  
test/15128            0  
...                 ...  
training/9779         0  
training/978          0  
training/9809         0  
